MockCommunity	GeneratedReads	NumSpecies	NumGenera	NumFamily	ClassifiedEukaryota	ClassifiedBacteria	ClassifiedViruses	ClassifiedHuman	TDSpecies	TDGenera	TDFamily	FDSpecies	FDGenera	FDFamily	PropEukaryota	PropHuman	PropBacteria	PropViruses	PropUnclassified	RecallSpecies	PrecisionSpecies	RecallGenera	PrecisionGenera	RecallFamily	PrecisionFamily	Tool	ComType	ClassifiedReads	UnclassifiedReads
small_3_EC	2764682.0	10.0	9.0	7.0					8.0	9.0	7.0	27.0	7.0	2.0						80.0	22.857142857142858	100.0	56.25	100.0	77.77777777777779	funomic	EqualCoverage		
median_2_EC	14050238.0	50.0	37.0	25.0					39.0	35.0	24.0	137.0	22.0	8.0						78.0	22.15909090909091	94.5945945945946	61.40350877192983	96.0	75.0	funomic	EqualCoverage		
small_1	1000000.0	10.0	9.0	6.0					7.0	8.0	6.0	2.0	0.0	0.0						70.0	77.77777777777779	88.88888888888889	100.0	100.0	100.0	micop	EqualReads		
median_2	5000000.0	50.0	37.0	25.0					27.0	23.0	17.0	9.0	6.0	1.0						54.0	75.0	62.16216216216216	79.3103448275862	68.0	94.44444444444444	micop	EqualReads		
median_1	5000000.0	50.0	33.0	22.0					27.0	23.0	17.0	17.0	9.0	2.0						54.0	61.36363636363637	69.6969696969697	71.875	77.27272727272727	89.47368421052632	micop	EqualReads		
small_3	1000000.0	10.0	9.0	7.0					5.0	6.0	5.0	3.0	1.0	0.0						50.0	62.5	66.66666666666666	85.71428571428571	71.42857142857143	100.0	micop	EqualReads		
small_2	1000000.0	10.0	9.0	6.0					8.0	9.0	4.0	3.0	0.0	1.0						80.0	72.72727272727273	100.0	100.0	66.66666666666666	80.0	micop	EqualReads		
large_2	10000000.0	100.0	59.0	33.0					57.0	40.0	22.0	14.0	10.0	3.0						56.99999999999999	80.28169014084507	67.79661016949152	80.0	66.66666666666666	88.0	micop	EqualReads		
complete_1	16500000.0	165.0	90.0	50.0					94.0	60.0	30.0	16.0	12.0	5.0						56.96969696969697	85.45454545454545	66.66666666666666	83.33333333333334	60.0	85.71428571428571	micop	EqualReads		
median_3	5000000.0	50.0	36.0	20.0					37.0	27.0	13.0	10.0	4.0	3.0						74.0	78.72340425531915	75.0	87.09677419354838	65.0	81.25	micop	EqualReads		
large_1	10000000.0	100.0	67.0	44.0					60.0	45.0	27.0	18.0	11.0	2.0						60.0	76.92307692307693	67.16417910447761	80.35714285714286	61.36363636363637	93.10344827586206	micop	EqualReads		
large_2_EC	28604376.0	100.0	59.0	33.0					57.0	42.0	22.0	32.0	14.0	4.0						56.99999999999999	64.04494382022472	71.1864406779661	75.0	66.66666666666666	84.61538461538461	micop	EqualCoverage		
small_2_EC	2386135.0	10.0	9.0	6.0					8.0	9.0	4.0	3.0	0.0	1.0						80.0	72.72727272727273	100.0	100.0	66.66666666666666	80.0	micop	EqualCoverage		
large_1_EC	28167862.0	100.0	67.0	44.0					60.0	47.0	27.0	28.0	14.0	4.0						60.0	68.18181818181817	70.1492537313433	77.04918032786885	61.36363636363637	87.09677419354838	micop	EqualCoverage		
median_2_EC	14050238.0	50.0	37.0	25.0					27.0	24.0	17.0	17.0	10.0	2.0						54.0	61.36363636363637	64.86486486486487	70.58823529411765	68.0	89.47368421052632	micop	EqualCoverage		
complete_1_EC	48355529.0	165.0	90.0	50.0					94.0	62.0	30.0	34.0	17.0	6.0						56.96969696969697	73.4375	68.88888888888889	78.48101265822784	60.0	83.33333333333334	micop	EqualCoverage		
median_3_EC	12163378.0	50.0	36.0	20.0					37.0	28.0	13.0	13.0	5.0	3.0						74.0	74.0	77.77777777777779	84.84848484848484	65.0	81.25	micop	EqualCoverage		
median_1_EC	14026914.0	50.0	33.0	22.0					27.0	25.0	17.0	29.0	14.0	3.0						54.0	48.21428571428572	75.75757575757575	64.1025641025641	77.27272727272727	85.0	micop	EqualCoverage		
small_1_EC	2329085.0	10.0	9.0	6.0					7.0	8.0	6.0	3.0	0.0	0.0						70.0	70.0	88.88888888888889	100.0	100.0	100.0	micop	EqualCoverage		
small_3_EC	2764682.0	10.0	9.0	7.0					5.0	6.0	6.0	6.0	4.0	0.0						50.0	45.45454545454545	66.66666666666666	60.0	85.71428571428571	100.0	micop	EqualCoverage		
