Taxon name,RelAbReads,PredictedRelAb,Mock_community,Tool,Level,ComType
Debaryomyces,1.0,0.0089,large_1,HMS,Genus,EqualReads
Diutina,1.0,0.0072,large_1,HMS,Genus,EqualReads
Fusarium,2.0,0.0711,large_1,HMS,Genus,EqualReads
Kluyveromyces,2.0,0.0384,large_1,HMS,Genus,EqualReads
Malassezia,4.0,0.1307,large_1,HMS,Genus,EqualReads
Meyerozyma,1.0,0.041,large_1,HMS,Genus,EqualReads
Nakaseomyces,1.0,0.0432,large_1,HMS,Genus,EqualReads
Naumovozyma,1.0,0.0002,large_1,HMS,Genus,EqualReads
Paracoccidioides,1.0,0.04,large_1,HMS,Genus,EqualReads
Pichia,1.0,0.0365,large_1,HMS,Genus,EqualReads
Pneumocystis,2.0,0.0013,large_1,HMS,Genus,EqualReads
Rhizopus,1.0,0.0002,large_1,HMS,Genus,EqualReads
Scedosporium,1.0,0.0411,large_1,HMS,Genus,EqualReads
Talaromyces,1.0,0.0019,large_1,HMS,Genus,EqualReads
Trichophyton,2.0,0.0718,large_1,HMS,Genus,EqualReads
Trichosporon,1.0,0.0369,large_1,HMS,Genus,EqualReads
Ajellomycetaceae,1.0,0.32291374442660425,large_1,HMS,Family,EqualReads
Arthrodermataceae,2.0,7.1866368993529575,large_1,HMS,Family,EqualReads
Aspergillaceae,4.0,7.871200041658321,large_1,HMS,Family,EqualReads
Cryptococcaceae,8.0,14.179039812718672,large_1,HMS,Family,EqualReads
Debaryomycetaceae,14.0,17.454590061732116,large_1,HMS,Family,EqualReads
Hypoxylaceae,1.0,0.38920893027644127,large_1,HMS,Family,EqualReads
Malasseziaceae,4.0,13.06704664106107,large_1,HMS,Family,EqualReads
Metschnikowiaceae,2.0,4.1326126004487325,large_1,HMS,Family,EqualReads
Microascaceae,1.0,4.113841656799229,large_1,HMS,Family,EqualReads
Mucoraceae,1.0,4.012042218980758,large_1,HMS,Family,EqualReads
Nectriaceae,2.0,7.106098848365559,large_1,HMS,Family,EqualReads
Pichiaceae,5.0,3.6460705643406,large_1,HMS,Family,EqualReads
Pleosporaceae,4.0,0.13289910432548818,large_1,HMS,Family,EqualReads
Pneumocystaceae,2.0,0.12818578623805796,large_1,HMS,Family,EqualReads
Saccharomycetaceae,18.0,8.181373419726327,large_1,HMS,Family,EqualReads
Trichocomaceae,1.0,0.19071443405296165,large_1,HMS,Family,EqualReads
Trichosporonaceae,1.0,3.6911249455344195,large_1,HMS,Family,EqualReads
Aspergillus flavus,1.0,0.0639,large_2,HMS,Species,EqualReads
Aspergillus terreus,1.0,0.0311,large_2,HMS,Species,EqualReads
Candida albicans,1.0,0.0266,large_2,HMS,Species,EqualReads
Candida dubliniensis,1.0,0.0319,large_2,HMS,Species,EqualReads
Candida orthopsilosis,1.0,0.0332,large_2,HMS,Species,EqualReads
Candida parapsilosis,1.0,0.0328,large_2,HMS,Species,EqualReads
