Profile,ComType,Genus,NumSpecies,InclSpecies,Tool,SpeciesDet,MissedSp,GenusDetected
median_2,EqualReads,Aspergillus,4,"['Aspergillus lentulus', 'Aspergillus fischeri', 'Aspergillus aculeatinus', 'Aspergillus candidus']",HMS,1,"['Aspergillus fischeri', 'Aspergillus aculeatinus', 'Aspergillus candidus']",Yes
median_2,EqualReads,Aspergillus,4,"['Aspergillus lentulus', 'Aspergillus fischeri', 'Aspergillus aculeatinus', 'Aspergillus candidus']",FunOMIC,4,[],Yes
median_2,EqualReads,Aspergillus,4,"['Aspergillus lentulus', 'Aspergillus fischeri', 'Aspergillus aculeatinus', 'Aspergillus candidus']",MiCoP,1,"['Aspergillus lentulus', 'Aspergillus aculeatinus', 'Aspergillus candidus']",Yes
median_2,EqualReads,Cryptococcus,3,"['Cryptococcus amylolentus', 'Cryptococcus decagattii', 'Cryptococcus gattii']",Kraken,1,"['Cryptococcus amylolentus', 'Cryptococcus decagattii']",Yes
median_2,EqualReads,Cryptococcus,3,"['Cryptococcus amylolentus', 'Cryptococcus decagattii', 'Cryptococcus gattii']",Euk,1,"['Cryptococcus decagattii', 'Cryptococcus gattii']",Yes
median_2,EqualReads,Cryptococcus,3,"['Cryptococcus amylolentus', 'Cryptococcus decagattii', 'Cryptococcus gattii']",Metaphlan,1,"['Cryptococcus amylolentus', 'Cryptococcus decagattii']",Yes
median_2,EqualReads,Cryptococcus,3,"['Cryptococcus amylolentus', 'Cryptococcus decagattii', 'Cryptococcus gattii']",HMS,1,"['Cryptococcus amylolentus', 'Cryptococcus decagattii']",Yes
median_2,EqualReads,Cryptococcus,3,"['Cryptococcus amylolentus', 'Cryptococcus decagattii', 'Cryptococcus gattii']",FunOMIC,1,"['Cryptococcus decagattii', 'Cryptococcus gattii']",Yes
median_2,EqualReads,Cryptococcus,3,"['Cryptococcus amylolentus', 'Cryptococcus decagattii', 'Cryptococcus gattii']",MiCoP,2,['Cryptococcus decagattii'],Yes
median_2,EqualReads,Candida,3,"['Candida albicans', 'Candida jiufengensis', 'Candida oxycetoniae']",Kraken,1,"['Candida jiufengensis', 'Candida oxycetoniae']",Yes
median_2,EqualReads,Candida,3,"['Candida albicans', 'Candida jiufengensis', 'Candida oxycetoniae']",Euk,1,"['Candida jiufengensis', 'Candida oxycetoniae']",Yes
median_2,EqualReads,Candida,3,"['Candida albicans', 'Candida jiufengensis', 'Candida oxycetoniae']",Metaphlan,1,"['Candida jiufengensis', 'Candida oxycetoniae']",Yes
median_2,EqualReads,Candida,3,"['Candida albicans', 'Candida jiufengensis', 'Candida oxycetoniae']",HMS,1,"['Candida jiufengensis', 'Candida oxycetoniae']",Yes
median_2,EqualReads,Candida,3,"['Candida albicans', 'Candida jiufengensis', 'Candida oxycetoniae']",FunOMIC,1,"['Candida jiufengensis', 'Candida oxycetoniae']",Yes
median_2,EqualReads,Candida,3,"['Candida albicans', 'Candida jiufengensis', 'Candida oxycetoniae']",MiCoP,1,"['Candida jiufengensis', 'Candida oxycetoniae']",Yes
median_2,EqualReads,Malassezia,2,"['Malassezia restricta', 'Malassezia pachydermatis']",Kraken,1,['Malassezia pachydermatis'],Yes
median_2,EqualReads,Malassezia,2,"['Malassezia restricta', 'Malassezia pachydermatis']",Euk,1,['Malassezia pachydermatis'],Yes
median_2,EqualReads,Malassezia,2,"['Malassezia restricta', 'Malassezia pachydermatis']",Metaphlan,2,[],Yes
median_2,EqualReads,Malassezia,2,"['Malassezia restricta', 'Malassezia pachydermatis']",HMS,1,['Malassezia pachydermatis'],Yes
median_2,EqualReads,Malassezia,2,"['Malassezia restricta', 'Malassezia pachydermatis']",FunOMIC,2,[],Yes
median_2,EqualReads,Malassezia,2,"['Malassezia restricta', 'Malassezia pachydermatis']",MiCoP,1,['Malassezia restricta'],Yes
median_2,EqualReads,Tetrapisispora,2,"['Tetrapisispora phaffii', 'Henningerozyma blattae']",Kraken,2,[],Yes
median_2,EqualReads,Tetrapisispora,2,"['Tetrapisispora phaffii', 'Henningerozyma blattae']",Euk,2,[],Yes
median_2,EqualReads,Tetrapisispora,2,"['Tetrapisispora phaffii', 'Henningerozyma blattae']",Metaphlan,0,"['Tetrapisispora phaffii', 'Henningerozyma blattae']",No
median_2,EqualReads,Tetrapisispora,2,"['Tetrapisispora phaffii', 'Henningerozyma blattae']",HMS,0,"['Tetrapisispora phaffii', 'Henningerozyma blattae']",No
median_2,EqualReads,Tetrapisispora,2,"['Tetrapisispora phaffii', 'Henningerozyma blattae']",FunOMIC,1,['Henningerozyma blattae'],Yes
median_2,EqualReads,Tetrapisispora,2,"['Tetrapisispora phaffii', 'Henningerozyma blattae']",MiCoP,2,[],Yes
median_2,EqualReads,Neurospora,2,"['Neurospora tetrasperma', 'Neurospora crassa']",Kraken,1,['Neurospora tetrasperma'],Yes
median_2,EqualReads,Neurospora,2,"['Neurospora tetrasperma', 'Neurospora crassa']",Euk,2,[],Yes
median_2,EqualReads,Neurospora,2,"['Neurospora tetrasperma', 'Neurospora crassa']",Metaphlan,0,"['Neurospora tetrasperma', 'Neurospora crassa']",No
median_2,EqualReads,Neurospora,2,"['Neurospora tetrasperma', 'Neurospora crassa']",HMS,0,"['Neurospora tetrasperma', 'Neurospora crassa']",No
median_2,EqualReads,Neurospora,2,"['Neurospora tetrasperma', 'Neurospora crassa']",FunOMIC,2,[],Yes
median_2,EqualReads,Neurospora,2,"['Neurospora tetrasperma', 'Neurospora crassa']",MiCoP,2,[],Yes
median_3,EqualReads,Candida,5,"['Candida albicans', 'Candida dubliniensis', 'Candida tropicalis', 'Candida margitis', 'Candida orthopsilosis']",Kraken,3,"['Candida tropicalis', 'Candida margitis']",Yes
