Name	Rank	Lineage	Taxid	Observed_markers	Read_counts	Percent_observed_markers	Total_marker_coverage	Percent_identity
Histoplasma capsulatum NAm1	species	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Ajellomycetaceae|genus-Histoplasma|species-Histoplasma_capsulatum	339724	144	865	79.12%	32.11%	98.2%
Botrytis porri	species	phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Sclerotiniaceae|genus-Botrytis|species-Botrytis_porri	87229	149	806	73.76%	30.02%	99.98%
Alternaria alternata complex	species group	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria	187734	45	194	54.88%	19.57%	99.99%
Fusarium proliferatum ET1	species	phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Nectriaceae|genus-Fusarium|species-Fusarium_proliferatum	1227346	67	210	54.47%	19.5%	100.0%
Penicillium chrysogenum	species	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Penicillium|species-Penicillium_chrysogenum	5076	110	436	54.19%	19.47%	99.9%
Alternaria sect. Alternaria	section	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria	2499237	33	141	51.56%	32.7%	99.97%
Zygosaccharomyces	genus	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Zygosaccharomyces	4953	98	2510	33.68%	82.05%	99.8%
Aspergillus tubingensis CBS 134.48	species	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_tubingensis	767770	48	168	29.45%	17.79%	99.99%
Alternaria alternata	species	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria|species-Alternaria_alternata	5599	17	59	25.37%	16.68%	99.93%
Neurospora sublineolata FGSC 5508	species	phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Neurospora|species-Neurospora_sublineolata	1266767	21	36	11.54%	10.77%	99.12%
Mucorineae	suborder	phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales	1344963	2	5	6.25%	25.74%	97.69%
Fusarium fujikuroi species complex	species group	phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Nectriaceae|genus-Fusarium	171627	20	67	5.54%	16.15%	99.92%
Trichophyton	genus	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Arthrodermataceae|genus-Trichophyton	5550	19	96	4.6%	32.6%	99.84%
Aspergillus costaricaensis CBS 115574	species	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_costaricaensis	1448317	5	8	3.14%	9.12%	99.16%
Mucor racemosus B9645	species	phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales|family-Mucoraceae|genus-Mucor|species-Mucor_racemosus	1357677	4	13	2.08%	12.32%	97.08%
Rutstroemia sydowiana	species	phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Rutstroemiaceae|genus-Rutstroemia|species-Rutstroemia_sydowiana	54687	3	4	1.67%	13.89%	100.0%
Aspergillus	genus	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus	5052	13	30	0.7%	9.42%	99.95%
