Lineage	Rank	Name	TaxID	RPKS	Euk_fraction	Reads	Amt_marker_sequence
phylum-Basidiomycota|class-Wallemiomycetes	class	Wallemiomycetes	431957	12.9656	17.3276	8068	622264
phylum-Basidiomycota|class-Wallemiomycetes|order-Wallemiales	order	Wallemiales	431958	12.9656	13.6537	8068	622264
phylum-Basidiomycota|class-Wallemiomycetes|order-Wallemiales|family-Wallemiaceae|genus-Wallemia	genus	Wallemia	148959	12.9656	2.8183	8068	622264
phylum-Basidiomycota|class-Wallemiomycetes|order-Wallemiales|family-Wallemiaceae|genus-Wallemia|species-Wallemia_ichthyophaga	species	Wallemia ichthyophaga	245174	13.5139	2.5318	4346	321594
phylum-Basidiomycota|class-Malasseziomycetes	class	Malasseziomycetes	1538075	20.3374	27.1796	26713	1313489
phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales	order	Malasseziales	162474	20.3374	21.4168	26713	1313489
phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales|family-Malasseziaceae|genus-Malassezia	genus	Malassezia	55193	20.3374	4.4208	26713	1313489
phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales|family-Malasseziaceae|genus-Malassezia|species-Malassezia_restricta	species	Malassezia restricta	76775	22.4049	4.1974	7804	348317
phylum-Mucoromycota	phylum	Mucoromycota	1913637	3.8414	17.6212	904	235331
phylum-Mucoromycota|class-Mucoromycetes	class	Mucoromycetes	2212703	3.8414	5.1338	904	235331
phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales	order	Mucorales	4827	3.8414	4.0453	904	235331
phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales|family-Mucoraceae|genus-Cokeromyces	genus	Cokeromyces	90254	3.8414	0.835	904	235331
phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales|family-Mucoraceae|genus-Cokeromyces|species-Cokeromyces_recurvatus	species	Cokeromyces recurvatus	90255	3.8414	0.7197	904	235331
